year,Hrel
1978,340416
1979,274090
1980,216537
1981,300942
1982,241931
1983,256238
1984,319220
1985,125280
1986,229013
1987,217948
1988,226771
1989,205732
1990,154815
1991,375642
1992,377991
1993,379290
1994,314095
1995,328461
1996,583720
1997,445434
1998,463027
1999,463460
2000,421213
2001,513330
2002,529821
2003,466100
2004,517000
2005,511560
2006,235010
2007,174000
2008,231500
2009,240000
2010,226050
2011,235000
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
